publication_external_id,publication_title,url
xCKVBAwZpJOL,RAG ASSISTANT PROJECT,https://github.com/Chizzy0428/RAG-Assistant-Project/tree/main
TwnmLnyzHBmm,BiochemRAG: A Retrieval-Augmented Generation System for Domain-Specific Biochemistry Topic,https://github.com/Popsonn/ready_tensor-rag_project_wk1/tree/main
HlGzst8AOo6s,PaperPulse: Your RAG-based Research Assistant,https://github.com/sri1991/paperpulse
yk9REEuNwN8E,Recipe Generator App(RAG-based Assistant),https://github.com/Murasajo/Recipe-Generator-App
Srxfh03hVX9C, RAG-based AI assistant for scientific paper summarization and suggestion,https://github.com/Zeeshier/Retrieval_Augmented_Generation/tree/main/Projects/scientific_paper_summarization_and_suggestion
3ckLnaDhLwiY,Ready Tensor Publication Explorer: A RAG-based research assistant,https://github.com/Abeer2107/Ready-Tensor-Publication-Explorer
Hhc2gcrb6Htp,Knowledge Bot - A Q&A RAG bot,https://github.com/mgoltzsche/knowledgebot
9VFqBbmNw65U,RAG Assistant for IGBO Cultural Information and Proverbs,https://github.com/Dprof-in-tech/igbo_culture_RAG.py.git
zWw6CocJH4jp,Canvas LMS Chatbot – Project 1: Foundations of Agentic AI,https://github.com/Myrahrs/Foundations-of-Agentic-AI/tree/AAIDC-Module-1-Project
q20UHntkFq3r, How AI Agents Transform PDFs into Polished Articles,https://github.com/Chukwuebuka-2003/rag_agentarticle/tree/main
h5ezVP2PhTun,RAG based Chatbot Specializing in U.S. History,https://github.com/NewGenesis04/Ready-Tensor-AI-Engineering/tree/main/RAG_APP
555qYxNAI5Lv,RAG-based agent API,https://github.com/molero3111/rag-assistant-api
SL2d7v43ml6X,testing test,
XTZxtVu1fotd,Slack Bot Development with BigQuery Vector Search,https://github.com/ymd65536/slack_bigquery_vector/
1tzOpsOtVNkC,E-commerce FAQ Assistant using RAG,https://github.com/swathiradhakrishnan06/Ecommerce-Q-A-Assistant-using-RAG
1YrOrfkDQ3bN,BUILDING A RAG SYSTEM WITH OPEN-SOURCE,https://github.com/AhmadTigress/Rag_System
967PpYl1ONyD,Traffic Rules Assistant,https://github.com/madhans476/traffic_rules_assistant/
4wqYEiwbmMF9,A RAG system for smart educational assessment from student course materials,https://github.com/Tolulopeelijah/studybuddy-rag
52lhbZXXHk9f,Local RAG Assistant for Ready Tensor Publications,https://github.com/hakangulcu/ready-tensor-rag-assistant/tree/main
iSUvjnognEEL,Agentic AI Developer Certification Project: A RAG-based AI assistant for Tensor Publication Explorer,https://github.com/Joshua-Abok/rag_apk
XKgpjOObSLfF,Module 1 RAG Project ,https://github.com/Akhilpm156/Chat_Bot_RAG_Project_V2.git
hDpOInariYSZ,PDF Chat Assistant using Agentic RAG,https://github.com/dishangrgbhd/PDF-Chat-Assistant
Az72dkvWhXdL,Research Assistant RAG,https://github.com/Moniica990/Research_assistant_RAG_AI
8t2SMEsGZctP,RAG Assistant - AAIDC,https://github.com/kartavya4874/RAG-Assistant---AAIDC
52Zo0G7WuWGZ,AAIDC2025- Project 1- RAG AI Assistant ,
hJ4aTArbK8XV,AAIDC2025: Project 1- RAG AI Assistant,https://github.com/diyasrawat/FinReg-AI-Advanced-Financial-Regulatory-Chatbot
m4Ger4j7PxpG,Module 1 RAG Assistant App,https://github.com/balajik-g/RAG_Assistant_M_1.0
B6ZkgH7d9ekX,Docling Q&A,https://github.com/mukundan1/docqa/code
1EyrHhLul5KU,Local-RAG: A Question-Answering Assistant with Ollama and LangChain,https://github.com/gourishankar27/local_RAG_agent_system
a5JYVWRZcIL3,The Librarian: Domain-Specialized RAG Architecture for Literary Analysis,https://github.com/poacosta/the-librarian
O0NZPilG88oo,RAG-powered-assistant,https://github.com/AishwaryaChandel27/RAG-powered-assistant
00LAGp5OuigT,RAG-powered-assistant,https://github.com/AishwaryaChandel27/RAG-powered-assistant
HnFeAayhC99X,AAIDC2025 Module1 Project - Notebook-RAG,https://github.com/Eng-Elias/notebook_rag
nS6fajvZ0wuB,RAG Based Research Assistant,https://github.com/ajayjai30/READY_TENSOR_WEEK-1_ASSIGNMENT
Aew5eWU5GhFy,Streamlit AI Guide: AI-Powered Streamlit Documentation Tutor,https://github.com/archanags001/streamlit-ai-guide
bY0Hasn6cBKO,MusafirAI: RAG-PoweredTravel Itinerary Generator,https://github.com/zshafique25/RAG_Assisstant
ANhHUbARKoZL,AskTheDocs: a Local‑First RAG Chatbot for Technical Documentation,https://github.com/rishi255/askthedocs
H2rbE1JDof4y,"Stop Searching, Start Asking: LangGraph Documentation at Your Fingertips 🤖🚀",https://github.com/MAQuesada/langgraph_documentation_RAG
4fiaz4cCKoI0,AAIDC RAG,https://github.com/simsimi2143/Rag-nvidia-nim/tree/main
WQqk306r08hW,"RAG-Based AI Publication/Documents Agent using LangChain, ChromaDB, GROQ",https://github.com/iyinusa/rag-ai-assistant
90Gdnmy5EuOR,RAG-Based Financial Research Assistant,https://github.com/sahil095/RAG-based-financial-research-assistant
A4c7i0iQhjCl,Agent 47: Precise recent data retrieval,https://github.com/polymathLTE/agentic-ai
lLRMZ6kjsB8O,modular-rag-assistant,https://github.com/caliskate/modular-rag-assistant/
4hY5oGBmvCz6,Psych RAG,https://github.com/This-is-just-a-test-ben/rag_psych_helper
FUN8ODzJbGxU,Agentic AI Developer Certification Project 1 - RAG Based Chatbot using LangChain,https://github.com/aryanmahawar205/conversational-rag-chatbot
Ea5WUg3GE1o4,Carrer Path Guidance AI Assistant in Data Science,https://github.com/nikita-sharma-tech/Career-Path-Guidance-AI-Assistant-for-Data-Science/tree/main
OiF4ZW9X2jeo,🤖 Basic RAG System with ChromaDB and Groq,https://github.com/vanip3/rag-groq-app-.git
ynz0tnpH0Vsa,Module 1 Project 1 submission: RAG based AI assistant,https://github.com/krys2fa/rt-rag-chatbot-assistant
